	SRR6374533	SRR6374534	SRR6374535	SRR6374536	SRR6374537	SRR6374538	SRR6374539	SRR6374540	SRR6374541	SRR6374542	SRR6374543	SRR6374544	SRR6374545	SRR6374546	SRR6374547
ASV_1	26395	7395	28068	34803	801	162	5133	3239	1188	76604	84851	74008	103655	54593	81479
ASV_2	8483	23511	6437	3991	4963	598	8217	23439	5127	42135	20116	11934	35000	16057	12438
ASV_3	109	309	68	240	43129	56481	3535	292	23235	0	3009	75	398	3	32
ASV_4	26547	804	33356	18606	750	103	324	539	221	9456	341	276	1341	1591	468
ASV_5	25750	1755	16818	10155	337	170	822	1681	862	248	149	72	283	126	69
ASV_6	9998	1023	12294	8244	235	123	660	904	421	1382	861	1081	1092	503	1509
ASV_7	886	4187	889	1537	9482	2886	2218	6063	5576	2	48	0	2	76	1
ASV_8	60	10575	198	106	286	52	9917	9959	370	24	52	30	0	312	12
ASV_9	5501	1371	5966	6627	1184	205	1248	1209	2140	574	333	235	515	517	161
ASV_10	15	0	10	0	4	22958	0	0	62	0	3	25	0	0	0
ASV_11	29	691	112	42	440	336	1156	430	19101	0	13	0	0	0	0
ASV_12	1721	1723	1804	423	435	169	6734	1236	387	520	1479	1195	2121	1695	695
ASV_13	0	0	5	14	28	73	0	7	10	0	19863	0	0	0	0
ASV_14	56	727	456	768	1590	1685	1962	1529	629	0	6257	0	11	0	0
ASV_15	21	2815	13	0	2409	204	2434	2275	5042	15	0	0	81	68	0
ASV_16	27	72	259	128	17	3	113	11	79	1626	1118	5996	343	213	4231
ASV_17	39	97	15	83	4630	5411	460	12	2776	0	18	0	0	0	0
ASV_18	0	10	0	18	4846	5309	277	34	2610	0	0	0	0	0	0
ASV_19	5638	0	4733	1422	0	0	0	0	0	911	0	5	76	8	0
ASV_20	838	2087	748	432	639	273	649	664	176	559	525	309	912	2886	913
ASV_21	107	3311	349	177	756	127	3961	2075	1250	162	11	55	0	95	0
ASV_22	290	345	154	998	3021	2407	403	453	1687	23	101	0	6	25	0
ASV_23	252	716	213	883	2480	1810	590	455	1828	27	229	0	0	1	0
ASV_24	173	827	275	300	1865	1265	615	1856	1709	0	0	8	0	0	0
ASV_25	30	2703	447	256	269	29	2019	1757	476	21	0	0	0	0	0
ASV_26	0	0	0	0	105	8	7431	15	23	10	123	0	0	0	0
ASV_27	0	616	0	0	2451	0	2169	1724	78	0	0	0	0	0	0
ASV_28	0	8	62	39	5812	0	17	79	897	0	0	0	0	0	0
ASV_29	11	2539	5	0	118	10	2004	1790	279	16	0	0	0	20	0
ASV_30	0	208	0	0	33	6	0	0	16	0	6433	0	0	0	0
ASV_31	1540	332	776	695	378	43	399	387	407	94	649	96	128	137	498
ASV_32	17	107	235	110	18	0	77	45	28	686	471	3526	155	52	985
ASV_33	4	0	217	31	33	5	53	31	27	642	606	3294	239	82	1164
ASV_34	72	12	52	1128	617	5	1268	921	11	3	0	0	1106	900	0
ASV_35	0	0	0	0	0	5402	0	0	8	0	0	0	0	0	5
ASV_36	18	237	3	41	119	16	119	46	106	0	4631	10	0	0	0
ASV_37	0	10	0	0	281	549	0	0	3916	0	4	0	0	0	0
ASV_38	0	27	583	33	242	61	18	586	2902	1	0	9	0	35	7
ASV_39	128	244	52	55	827	357	1443	291	994	0	10	0	0	0	0
ASV_40	40	0	0	4	199	661	2908	10	516	0	0	0	0	0	0
ASV_41	2	0	3	0	2686	63	7	0	88	0	1371	0	0	0	0
ASV_42	21	101	75	57	115	828	343	16	2449	0	42	11	0	0	1
ASV_43	954	64	1303	609	61	20	63	80	114	104	173	39	94	107	175
ASV_44	0	573	21	79	2237	0	111	203	628	0	0	0	0	0	0
ASV_45	31	995	113	101	154	39	688	1125	236	0	0	0	0	27	0
ASV_46	1608	42	681	930	53	3	108	37	0	0	0	0	0	0	0
ASV_47	33	41	75	18	55	0	3133	70	0	0	0	0	0	0	0
ASV_48	23	770	23	3	18	0	987	1411	96	0	0	7	78	9	0
ASV_49	1	86	0	0	149	112	1794	103	1100	0	0	0	0	29	0
ASV_50	31	966	22	23	56	2	1770	232	165	0	0	71	0	0	0
ASV_51	34	0	64	18	0	0	0	27	2	19	99	1192	588	192	1011
ASV_52	37	561	45	11	904	154	682	213	587	0	0	0	0	21	0
ASV_53	114	224	1020	504	185	21	343	244	129	179	16	77	89	16	28
ASV_54	35	438	430	318	234	30	638	628	314	8	0	25	0	10	0
ASV_55	7	17	0	1	4	0	102	7	97	0	2	0	19	2750	37
ASV_56	59	768	264	118	416	13	357	563	467	0	0	4	0	0	0
ASV_57	236	42	607	37	361	0	61	570	42	10	52	10	79	392	122
ASV_58	0	467	15	45	132	34	860	547	344	0	0	16	0	93	0
ASV_59	59	303	215	42	0	3	986	45	75	567	0	23	162	14	0
ASV_60	8	445	112	98	62	22	887	510	300	0	1	6	0	0	0
ASV_61	120	509	242	298	137	16	522	510	31	27	0	12	0	0	12
ASV_62	0	873	0	0	36	4	755	692	51	0	0	13	0	0	11
ASV_63	0	231	0	0	737	70	352	298	708	0	0	0	0	0	0
ASV_64	38	362	137	60	294	10	353	431	704	0	0	0	0	0	0
ASV_65	0	421	155	64	53	4	1012	179	27	277	0	132	45	2	7
ASV_66	0	42	0	0	70	15	1503	703	31	9	0	0	0	0	0
ASV_67	415	244	275	235	36	24	441	82	69	198	0	298	28	7	2
ASV_68	1475	234	217	167	26	3	30	133	3	0	0	0	0	0	0
ASV_69	0	94	163	11	73	0	64	31	13	377	410	309	41	16	680
ASV_70	0	0	0	0	0	2154	0	0	22	0	0	0	0	0	0
ASV_71	94	229	354	205	50	18	343	256	210	26	0	90	23	263	12
ASV_72	38	76	162	64	58	9	148	193	27	209	268	372	46	85	382
ASV_73	0	155	0	0	1193	23	165	3	516	18	21	0	0	0	0
ASV_74	47	98	795	418	50	6	125	194	76	139	0	47	25	37	25
ASV_75	79	210	538	381	40	7	112	89	17	293	19	80	86	88	40
ASV_76	1016	0	696	357	0	0	0	0	0	0	0	0	0	0	0
ASV_77	26	801	239	97	93	8	308	401	68	0	0	0	0	0	0
ASV_78	0	651	6	0	26	11	539	577	67	39	14	3	12	30	0
ASV_79	0	0	0	6	85	195	1035	0	647	0	0	0	0	0	0
ASV_80	36	307	132	94	5	22	1122	34	213	0	0	0	0	0	0
ASV_81	132	101	828	489	18	1	56	136	39	47	17	0	50	35	13
ASV_82	3	250	12	124	372	84	243	614	118	10	0	6	0	40	0
ASV_83	0	393	0	0	270	37	368	178	611	0	2	0	0	0	0
ASV_84	76	37	476	401	4	0	46	64	39	223	11	235	59	44	127
ASV_85	775	64	562	304	14	0	24	68	20	0	0	0	8	0	0
ASV_86	143	324	36	93	0	0	1005	164	0	0	0	0	0	0	0
ASV_87	11	339	73	17	116	29	477	467	199	5	0	0	0	4	0
ASV_88	153	185	59	268	377	100	379	91	119	0	0	0	0	0	0
ASV_89	0	1472	3	10	0	7	106	70	44	0	0	0	0	0	0
ASV_90	64	42	29	35	268	35	316	39	880	0	0	3	0	0	0
ASV_91	162	238	300	109	91	6	149	283	124	21	37	24	57	28	78
ASV_92	40	263	752	237	27	2	132	136	51	11	0	0	0	49	0
ASV_93	7	0	0	0	78	1398	0	0	13	0	187	0	0	0	0
ASV_94	20	703	179	41	42	19	270	264	81	25	5	0	0	0	0
ASV_95	3	696	44	49	47	4	318	426	60	0	0	0	0	0	0
ASV_96	209	71	134	101	51	24	753	151	132	0	0	0	0	0	8
ASV_97	8	187	71	93	36	13	543	487	125	0	0	10	0	0	0
ASV_98	0	408	0	0	20	0	704	140	6	49	0	0	0	241	0
ASV_99	24	154	57	35	54	0	901	296	46	0	0	0	0	0	0
ASV_100	0	61	0	0	206	85	113	183	857	0	0	2	0	0	8
ASV_101	39	0	34	30	167	14	77	68	1079	0	0	0	0	0	0
ASV_102	481	31	528	285	17	0	10	147	4	0	0	0	0	0	0
ASV_103	182	141	147	19	59	0	33	19	6	145	47	108	192	352	12
ASV_104	10	399	29	48	85	26	252	207	385	0	0	0	0	19	0
ASV_105	46	115	465	179	34	21	55	134	48	45	0	126	131	9	26
ASV_106	29	515	228	100	73	3	152	277	47	0	0	0	0	0	0
ASV_107	0	15	0	0	9	0	39	34	0	523	160	181	109	260	93
ASV_108	70	159	229	178	125	25	290	186	141	0	0	0	15	0	0
